Age Range,Daily Portions,Energy per Portion,Total Daily Energy
1 - 2,4,500,2000
2 - 4,4,500,2000
4 - 9,4,500,2000
9 - 12,4,500,2000
12 - 14,5,500,2500
14 - 19,7,500,3500
19 - 51,6,500,3000
51 - 71,4,500,2000
71 - 120,3,500,1500
