Age_LB,Age_UB,Energy_LB,Energy_UB
1,2,3375,4725
2,4,3850,4725
4,9,3725,6200
9,12,6200,7950
12,14,7250,9225
14,19,7750,9725
19,51,7050,9100
51,71,6750,8625
71,120,6450,8300
