Age Range,Daily Portions,Energy per Portion,Total Daily Energy
1 - 2,1 - 1.5,500 - 600,500 - 900
2 - 4,1.5,500 - 600,750 - 900
4 - 9,1.5,500 - 600,750 - 900
9 - 12,3,500 - 600,1500 - 1800
12 - 14,3.5,500 - 600,1750 - 2100
14 - 19,3.5,500 - 600,1750 - 2100
19 - 51,2.5,500 - 600,1250 - 1500
51 - 71,4,500 - 600,2000 - 2400
71 - 120,4,500 - 600,2000 - 2400
