Age Range,Daily Portions,Energy per Portion,Total Daily Energy
1 - 2,4,500,2000
2 - 4,4,500,2000
4 - 9,4,500,2000
9 - 12,5,500,2500
12 - 14,6,500,3000
14 - 19,7,500,3500
19 - 51,6,500,3000
51 - 71,6,500,3000
71 - 120,4.5,500,2250
