Age Range,Daily Portions,Energy per Portion,Total Daily Energy
1 - 2,0.5,350,175
2 - 4,1,350,350
4 - 9,1.5,350,525
9 - 12,2,350,700
12 - 14,2,350,700
14 - 19,2,350,700
19 - 51,2,350,700
51 - 71,2,350,700
71 - 120,2,350,700
