Age Range,Daily Portions,Energy per Portion,Total Daily Energy
1 - 2,1 - 1.5,500 - 600,500 - 900
2 - 4,1.5,500 - 600,750 - 900
4 - 9,2,500 - 600,1000 - 1200
9 - 12,2.5,500 - 600,1250 - 1500
12 - 14,3.5,500 - 600,1750 - 2100
14 - 19,3.5,500 - 600,1750 - 2100
19 - 51,2.5,500 - 600,1250 - 1500
51 - 71,2.5,500 - 600,1250 - 1500
71 - 120,3.5,500 - 600,1750 - 2100
